Gender,Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,MonthlyIncome
Male,51,Travel_Rarely,Research & Development,9,Master,Very High,96,Very High,Married,No,23,10,Better,4,2075
Male,30,Travel_Rarely,Research & Development,2,Bachelor,High,99,Very High,Married,No,19,11,Better,11,4152
Male,46,Travel_Rarely,Sales,9,College,High,64,Very High,Single,No,16,9,Better,9,9619
Male,40,Travel_Frequently,Research & Development,1,Master,High,78,Medium,Married,No,22,22,Good,22,13503
Male,51,Travel_Rarely,Sales,21,Master,High,71,Very High,Single,Yes,22,11,Bad,10,5441
Female,30,Travel_Rarely,Sales,4,College,High,63,Medium,Divorced,Yes,12,11,Good,11,5209
Male,46,Travel_Frequently,Research & Development,1,Bachelor,High,40,Low,Married,Yes,13,21,Good,10,10673
Male,32,Travel_Rarely,Sales,6,Master,Medium,87,High,Single,No,16,12,Better,11,5010
Female,54,Travel_Rarely,Research & Development,2,Master,Low,60,High,Married,No,12,16,Bad,4,13549
Female,24,Travel_Rarely,Sales,3,College,Low,33,High,Married,No,21,4,Good,3,4999
Male,28,Non-Travel,Sales,4,Bachelor,Medium,43,High,Married,No,15,5,Best,5,4221
Male,58,Travel_Rarely,Sales,10,Master,Very High,37,High,Single,No,13,38,Good,37,13872
Male,44,Non-Travel,Research & Development,23,Bachelor,Medium,67,Medium,Married,No,12,17,Best,3,2042
Male,37,Travel_Rarely,Human Resources,6,Master,High,63,Low,Divorced,Yes,22,7,Better,3,2073
Male,32,Travel_Rarely,Research & Development,1,Highschool,Very High,71,Low,Single,No,13,1,Better,1,2956
Female,20,Travel_Frequently,Research & Development,6,Bachelor,Very High,66,Very High,Single,Yes,18,1,Better,1,2926
Female,34,Travel_Rarely,Research & Development,6,Master,Low,41,High,Single,No,14,16,Better,16,4809
Male,37,Non-Travel,Research & Development,2,College,High,100,Very High,Divorced,No,14,17,Best,1,5163
Female,59,Non-Travel,Human Resources,2,Master,High,32,Very High,Married,No,21,30,Better,3,18844
Female,50,Travel_Frequently,Research & Development,1,Bachelor,Low,73,Medium,Married,Yes,19,28,Good,8,18172
Male,25,Travel_Rarely,Sales,5,Bachelor,High,46,High,Single,Yes,11,6,Better,6,5744
Male,25,Travel_Rarely,Research & Development,7,Highschool,Very High,64,Very High,Married,No,11,2,Better,2,2889
Female,22,Travel_Rarely,Research & Development,15,Bachelor,Medium,59,Very High,Single,No,15,1,Better,0,2871
Female,51,Travel_Frequently,Research & Development,1,Master,Low,30,Low,Single,No,20,23,Good,13,7484
Male,34,Travel_Frequently,Research & Development,7,Bachelor,Low,66,High,Single,Yes,24,9,Better,9,6074
Female,54,Non-Travel,Human Resources,26,Bachelor,Very High,30,Very High,Single,Yes,12,23,Better,5,17328
Male,24,Travel_Rarely,Research & Development,18,Highschool,Medium,52,High,Married,No,12,6,Better,5,2774
Female,34,Travel_Rarely,Research & Development,6,Master,High,45,Medium,Divorced,No,15,12,Better,1,4505
Male,37,Travel_Rarely,Sales,3,Bachelor,High,87,Very High,Single,No,12,12,Better,5,7428
Female,34,Travel_Rarely,Research & Development,5,Bachelor,High,45,Low,Single,No,12,14,Better,11,11631
Female,36,Travel_Frequently,Sales,11,College,Medium,92,Very High,Married,No,14,10,Better,9,9738
Female,36,Travel_Rarely,Research & Development,3,College,Low,39,Very High,Divorced,No,22,7,Better,1,2835
Male,43,Travel_Frequently,Sales,26,College,High,92,Very High,Married,Yes,12,25,Best,25,16959
Male,30,Travel_Frequently,Research & Development,23,Bachelor,Low,96,High,Divorced,No,25,10,Good,10,2613
Male,33,Non-Travel,Sales,22,College,High,95,Medium,Married,No,13,8,Best,7,6146
Female,56,Travel_Rarely,Research & Development,14,Master,Medium,72,Medium,Married,Yes,18,7,Better,5,4963
Male,51,Travel_Rarely,Research & Development,6,Bachelor,Low,51,High,Single,No,13,23,Better,20,19537
Male,31,Travel_Rarely,Sales,6,Master,Medium,76,High,Married,Yes,18,12,Good,7,6172
Female,26,Travel_Rarely,Research & Development,6,Bachelor,High,46,Medium,Married,No,19,5,Good,5,2368
Female,58,Travel_Rarely,Research & Development,23,Master,Very High,94,Very High,Married,No,12,40,Good,40,10312
Male,19,Travel_Rarely,Sales,22,Highschool,Very High,50,High,Single,Yes,19,0,Good,0,1675
Male,22,Travel_Rarely,Research & Development,2,Highschool,High,100,Very High,Married,No,14,3,Better,2,2523
Female,49,Travel_Rarely,Research & Development,20,Master,High,96,Low,Married,No,14,16,Good,15,6567
Female,43,Travel_Frequently,Research & Development,28,Bachelor,Medium,72,High,Single,No,12,18,Better,3,4739
Female,50,Travel_Frequently,Sales,12,Bachelor,High,77,Very High,Single,No,11,16,Better,2,9208
Female,31,Travel_Rarely,Sales,20,Bachelor,Medium,71,High,Married,Yes,11,4,Better,2,4559
Male,41,Travel_Rarely,Sales,9,Highschool,High,96,High,Divorced,Yes,13,12,Better,9,8189
Female,26,Travel_Rarely,Human Resources,25,Highschool,High,61,High,Married,No,23,8,Better,8,2942
Male,36,Travel_Rarely,Research & Development,6,College,Medium,84,Medium,Divorced,No,20,7,Better,3,4941
Male,51,Travel_Frequently,Research & Development,8,Master,Low,53,Very High,Single,No,15,18,Better,4,10650
Female,39,Travel_Rarely,Sales,4,Master,Very High,47,High,Married,No,14,17,Best,15,5902
Male,25,Travel_Rarely,Sales,28,Bachelor,Low,41,High,Married,No,18,6,Better,2,8639
Male,30,Travel_Rarely,Human Resources,9,Bachelor,High,48,Very High,Married,Yes,19,12,Bad,11,6347
Female,32,Travel_Rarely,Research & Development,9,Bachelor,Low,41,Low,Single,No,22,10,Best,5,4200
Male,45,Travel_Rarely,Research & Development,29,Bachelor,High,83,Very High,Single,No,13,9,Good,6,3452
Female,38,Travel_Rarely,Research & Development,3,Doctor,Very High,32,High,Single,Yes,20,19,Better,3,4317
Female,30,Travel_Rarely,Research & Development,18,Bachelor,Low,75,High,Single,No,14,5,Good,5,2632
Male,32,Travel_Frequently,Sales,9,College,Very High,35,Very High,Divorced,No,17,9,Best,8,4668
Female,30,Travel_Rarely,Research & Development,5,Bachelor,Very High,84,Low,Divorced,No,14,8,Better,3,3204
Male,30,Travel_Rarely,Research & Development,2,Highschool,Medium,35,Very High,Single,No,13,6,Better,5,2720
Male,41,Travel_Frequently,Research & Development,10,Bachelor,Very High,91,Low,Divorced,No,13,21,Good,7,17181
Male,41,Travel_Rarely,Research & Development,9,Master,High,94,Low,Married,No,21,7,Better,5,2238
Female,19,Travel_Rarely,Research & Development,3,Highschool,Medium,79,Medium,Single,No,14,1,Better,1,1483
Female,40,Travel_Frequently,Research & Development,26,Bachelor,Medium,54,Medium,Divorced,No,11,20,Better,20,5605
Male,35,Travel_Rarely,Sales,1,Doctor,High,94,Medium,Married,No,13,10,Better,10,7295
Male,53,Travel_Rarely,Sales,6,College,Medium,34,High,Married,Yes,20,13,Bad,7,2306
Male,45,Travel_Rarely,Research & Development,9,Bachelor,Medium,60,Medium,Divorced,No,18,20,Bad,17,2348
Female,32,Travel_Frequently,Sales,8,Bachelor,Medium,43,Very High,Single,No,14,9,Better,9,8998
Male,29,Non-Travel,Research & Development,1,Highschool,Very High,41,High,Married,No,13,10,Better,10,4319
Male,51,Travel_Rarely,Research & Development,7,Master,Medium,34,High,Married,No,17,10,Better,1,6132
Female,58,Travel_Rarely,Research & Development,9,Bachelor,Medium,75,Medium,Married,Yes,20,9,Good,1,3346
Male,40,Travel_Rarely,Sales,4,Master,High,67,Very High,Married,No,11,15,Good,12,10855
Female,34,Travel_Frequently,Sales,2,Master,High,75,High,Married,No,18,6,Better,4,2231
Male,22,Travel_Rarely,Research & Development,19,Highschool,High,80,Very High,Married,No,24,2,Better,2,2323
Male,27,Non-Travel,Research & Development,9,Bachelor,Very High,57,Medium,Divorced,No,18,6,Bad,2,2024
Male,28,Travel_Rarely,Research & Development,21,Bachelor,High,42,Very High,Married,No,11,5,Bad,5,2713
Male,57,Travel_Rarely,Research & Development,24,College,High,83,Very High,Divorced,Yes,16,12,Bad,5,9439
Male,27,Non-Travel,Research & Development,3,Bachelor,High,79,High,Divorced,Yes,15,1,Good,1,2566
Female,50,Travel_Rarely,Research & Development,11,Bachelor,High,53,Medium,Single,No,15,21,Better,5,19926
Male,41,Travel_Rarely,Research & Development,14,Bachelor,Low,56,High,Divorced,No,12,13,Better,9,2451
Female,30,Travel_Rarely,Sales,5,Bachelor,Medium,41,Very High,Married,No,12,12,Better,10,9419
Female,38,Travel_Rarely,Sales,1,Master,Low,59,Very High,Single,No,22,12,Best,8,8686
Male,32,Travel_Rarely,Research & Development,6,Doctor,High,43,High,Single,No,20,8,Better,5,3038
Male,27,Travel_Rarely,Research & Development,17,Bachelor,High,51,Medium,Married,Yes,16,6,Good,5,3058
Female,19,Travel_Frequently,Sales,1,Highschool,High,100,Low,Single,No,21,1,Best,0,2325
Male,36,Travel_Frequently,Research & Development,3,College,Very High,30,Medium,Single,No,12,13,Good,8,2088
Male,30,Non-Travel,Research & Development,9,Bachelor,High,66,Low,Divorced,No,11,12,Better,12,3072
Female,45,Travel_Rarely,Sales,4,College,High,30,Low,Divorced,Yes,11,9,Best,5,5006
Female,56,Travel_Rarely,Research & Development,8,Bachelor,High,67,Low,Divorced,Yes,18,19,Better,2,4257
Male,33,Travel_Rarely,Research & Development,2,Bachelor,High,90,Very High,Single,No,14,4,Best,3,2500
Male,19,Travel_Rarely,Research & Development,2,Bachelor,Medium,47,Very High,Single,No,22,1,Good,1,1102
Female,46,Travel_Rarely,Sales,1,College,Medium,92,Low,Divorced,No,25,24,Better,24,10453
Female,38,Travel_Rarely,Research & Development,9,College,High,75,Very High,Single,No,12,2,Better,2,2288
Female,31,Travel_Rarely,Research & Development,12,Highschool,High,95,Very High,Married,Yes,23,7,Better,4,3929
Female,34,Travel_Rarely,Research & Development,27,College,Very High,95,Medium,Single,No,15,9,Better,3,2311
Female,41,Travel_Rarely,Sales,20,College,Medium,70,Medium,Single,Yes,22,4,Good,4,3140
Male,50,Travel_Rarely,Research & Development,1,Bachelor,High,86,High,Married,No,15,5,Good,3,3690
Female,53,Travel_Rarely,Research & Development,13,College,Very High,57,Low,Divorced,No,11,5,Better,4,4450
Female,33,Travel_Rarely,Research & Development,14,Bachelor,Very High,72,Medium,Married,No,13,8,Better,8,2756
Female,40,Travel_Rarely,Research & Development,4,Highschool,Very High,46,High,Married,No,14,21,Better,20,19033
Male,55,Travel_Rarely,Research & Development,14,Master,High,61,Medium,Single,No,11,36,Better,24,18722
Male,34,Travel_Frequently,Research & Development,2,Highschool,Very High,45,High,Married,No,17,10,Good,10,9547
Female,51,Travel_Rarely,Research & Development,3,Bachelor,Very High,98,Medium,Single,No,18,21,Better,7,13734
Male,52,Travel_Rarely,Research & Development,1,Master,High,65,High,Married,No,14,34,Better,33,19999
Female,27,Travel_Rarely,Research & Development,9,Bachelor,Very High,99,Medium,Single,No,16,7,Good,7,2279
Male,35,Travel_Rarely,Research & Development,23,College,Medium,50,High,Married,Yes,13,8,Better,1,5916
Male,43,Non-Travel,Research & Development,7,Bachelor,Very High,37,Very High,Divorced,No,14,7,Best,5,2089
Male,45,Non-Travel,Research & Development,2,College,Low,65,Very High,Married,No,23,22,Better,20,16792
Male,37,Travel_Rarely,Research & Development,21,Bachelor,Medium,65,Low,Married,Yes,12,8,Good,8,3564
Female,35,Travel_Frequently,Research & Development,2,Bachelor,Medium,37,Medium,Single,No,11,10,Better,6,4425
Female,42,Non-Travel,Research & Development,21,College,High,36,High,Divorced,No,16,11,Better,5,5265
Male,38,Travel_Rarely,Research & Development,2,Master,Very High,88,High,Married,No,14,14,Better,1,6553
Male,38,Travel_Rarely,Research & Development,29,Bachelor,Very High,54,Very High,Married,No,18,9,Bad,7,6261
Male,27,Travel_Frequently,Research & Development,1,Highschool,High,60,Low,Married,No,19,6,Better,2,4298
Male,49,Non-Travel,Research & Development,18,Master,Very High,92,Very High,Divorced,Yes,15,7,Better,7,6804
Male,34,Travel_Frequently,Research & Development,10,Master,Very High,43,High,Divorced,Yes,17,5,Best,5,3815
Male,40,Travel_Rarely,Research & Development,19,College,High,99,Very High,Married,Yes,15,15,Best,7,2741
Male,38,Travel_Rarely,Research & Development,29,Highschool,Medium,70,Low,Married,Yes,19,17,Better,1,6673
Female,29,Travel_Rarely,Sales,27,Bachelor,Medium,35,Very High,Married,No,22,10,Good,10,7639
Male,22,Travel_Rarely,Research & Development,5,Bachelor,Very High,60,Medium,Divorced,Yes,16,4,Good,4,2328
Female,36,Travel_Frequently,Research & Development,18,Highschool,Medium,73,Very High,Single,No,13,8,Better,8,2153
Male,40,Non-Travel,Research & Development,9,Doctor,Very High,63,Very High,Married,No,14,5,Bad,3,4876
Male,46,Travel_Rarely,Research & Development,1,Master,Very High,97,Low,Divorced,No,16,17,Better,4,9396
Male,32,Travel_Rarely,Sales,4,Master,Very High,32,Very High,Married,No,11,14,Good,14,10400
Male,30,Non-Travel,Research & Development,1,Highschool,High,88,High,Single,No,22,12,Better,11,8474
Female,27,Travel_Frequently,Sales,20,Bachelor,Very High,90,High,Single,No,14,7,Better,7,9981
Male,51,Travel_Rarely,Research & Development,8,Master,Medium,81,Medium,Married,No,16,16,Bad,10,12490
Female,30,Travel_Rarely,Research & Development,3,Bachelor,Very High,88,Low,Single,Yes,11,8,Better,5,2657
Female,41,Travel_Rarely,Sales,6,Bachelor,Very High,75,Very High,Single,Yes,18,16,Better,1,13591
Female,30,Travel_Frequently,Sales,26,Master,High,52,Low,Single,No,15,9,Good,6,6696
Male,29,Travel_Rarely,Research & Development,1,Bachelor,High,85,High,Single,No,14,7,Good,6,2058
Female,45,Non-Travel,Sales,6,Bachelor,Very High,57,Very High,Single,No,12,23,Better,19,8865
Female,54,Travel_Rarely,Sales,3,Bachelor,Very High,52,Low,Married,No,14,16,Better,6,5940
Male,36,Travel_Rarely,Research & Development,5,College,Very High,62,Medium,Single,No,16,16,Best,13,5914
Female,33,Travel_Rarely,Research & Development,4,Master,High,47,Medium,Married,No,21,7,Better,3,2622
Male,37,Travel_Frequently,Research & Development,11,Bachelor,Medium,47,Very High,Divorced,Yes,14,10,Better,10,12185
Male,38,Travel_Rarely,Sales,3,Bachelor,Low,76,High,Divorced,No,12,17,Good,16,10609
Male,31,Non-Travel,Research & Development,1,Master,High,90,High,Married,No,12,6,Better,5,4345
Male,59,Travel_Rarely,Research & Development,3,Bachelor,High,70,Very High,Married,No,17,7,Better,1,2177
Male,37,Travel_Frequently,Sales,4,Master,Low,41,Very High,Divorced,No,17,13,Better,9,2793
Female,29,Travel_Frequently,Sales,1,Highschool,Medium,42,Very High,Married,No,14,11,Better,11,7918
Female,35,Travel_Frequently,Sales,1,Bachelor,High,92,High,Single,No,14,10,Best,10,8789
Male,29,Travel_Rarely,Research & Development,18,Highschool,High,86,Very High,Single,Yes,13,4,Good,4,2389
Female,52,Travel_Rarely,Research & Development,2,Bachelor,High,89,Very High,Single,No,15,6,Good,2,3212
Male,42,Travel_Rarely,Research & Development,4,College,High,58,Very High,Married,No,11,22,Better,22,19232
Male,59,Travel_Rarely,Human Resources,6,College,Medium,52,High,Married,No,17,7,Good,2,2267
Female,50,Travel_Rarely,Sales,1,Master,Very High,68,Very High,Divorced,No,11,32,Good,7,19517
Male,33,Travel_Rarely,Research & Development,14,Bachelor,High,58,Very High,Married,Yes,13,8,Bad,5,2436
Female,43,Travel_Rarely,Sales,16,Bachelor,Very High,80,Very High,Married,Yes,22,22,Better,17,16064
Female,33,Travel_Rarely,Research & Development,2,College,Low,39,Low,Married,No,20,13,Best,9,2707
Male,52,Non-Travel,Sales,2,Master,Low,79,High,Single,Yes,18,33,Best,33,19068
Female,32,Travel_Rarely,Sales,4,College,High,56,Medium,Married,No,11,6,Better,4,3931
Male,32,Travel_Rarely,Research & Development,1,Bachelor,Very High,62,High,Single,Yes,14,4,Bad,3,3730
Female,39,Travel_Rarely,Research & Development,1,Master,High,96,High,Divorced,No,14,7,Better,3,2232
Male,32,Non-Travel,Sales,26,Master,High,100,Very High,Married,No,18,4,Better,3,4465
Male,41,Travel_Rarely,Research & Development,19,College,High,36,Low,Divorced,No,16,17,Good,1,3072
Male,40,Travel_Rarely,Research & Development,24,College,Low,62,Very High,Divorced,No,17,9,Better,9,3319
Male,45,Travel_Rarely,Research & Development,1,Bachelor,High,70,Very High,Married,No,11,25,Better,24,19202
Male,31,Travel_Frequently,Research & Development,3,Master,Medium,73,High,Divorced,No,12,9,Better,2,13675
Female,33,Travel_Rarely,Research & Development,5,Master,High,63,Very High,Married,No,13,2,Good,2,2911
Male,34,Travel_Rarely,Research & Development,2,Master,Very High,84,Low,Married,No,13,13,Better,11,5957
Female,37,Travel_Rarely,Research & Development,1,College,High,83,Low,Married,No,14,17,Good,3,3920
Male,45,Travel_Frequently,Research & Development,7,Master,Low,77,High,Married,No,17,9,Better,3,6434
Male,37,Travel_Frequently,Research & Development,10,Bachelor,Low,61,High,Divorced,No,11,17,Better,1,10048
Female,39,Travel_Frequently,Research & Development,2,Master,High,64,High,Single,No,25,20,Better,19,10938
Male,29,Travel_Rarely,Research & Development,15,Bachelor,High,60,Very High,Single,No,19,6,Better,6,2340
Female,42,Travel_Rarely,Research & Development,17,College,Very High,82,Low,Single,Yes,13,10,Better,3,6545
Male,29,Travel_Rarely,Sales,20,College,Very High,45,Very High,Divorced,No,14,10,Better,3,6931
Female,25,Travel_Rarely,Research & Development,1,Bachelor,Low,62,High,Married,No,12,5,Better,4,4898
Female,42,Travel_Rarely,Research & Development,2,Bachelor,Very High,56,Low,Divorced,Yes,11,10,Better,9,2593
Male,40,Travel_Rarely,Research & Development,2,College,Low,49,High,Divorced,No,19,22,Better,21,19436
Male,51,Travel_Rarely,Research & Development,1,Bachelor,High,96,Very High,Married,No,11,1,Good,1,2723
Male,31,Travel_Frequently,Research & Development,29,College,High,71,Medium,Single,No,11,6,Best,5,3479
Male,32,Travel_Frequently,Research & Development,7,Bachelor,Medium,100,Medium,Married,No,20,5,Bad,5,2794
Male,38,Non-Travel,Sales,2,College,Very High,39,Very High,Married,No,18,13,Better,8,5249
Male,32,Travel_Rarely,Research & Development,2,Highschool,Very High,84,Low,Single,No,13,9,Better,6,2176
Female,46,Travel_Rarely,Sales,2,Bachelor,High,75,Medium,Married,Yes,12,28,Good,7,16872
